customer_id,customer_name,gender,signup_date,city,state,region,acquisition_channel
100001,Pooja Pandey,Female,2024-06-27,Mumbai,Maharashtra,West,Organic Search
100002,Aditya Saxena,Male,2024-05-14,Faridabad,Haryana,North,Referral
100003,Vivaan Verma,Female,2024-11-24,Indore,Madhya Pradesh,Central,Social Media
100004,Vivaan Pandey,Male,2024-05-21,Vadodara,Gujarat,West,Organic Search
100005,Vikram Joshi,Male,2025-03-08,Surat,Gujarat,West,Organic Search
100006,Aarav Singh,Male,2025-12-20,Amritsar,Punjab,North,Organic Search
100007,Sneha Mishra,Male,2023-12-03,Pune,Maharashtra,West,Organic Search
100008,Neha Verma,Male,2023-08-20,Patna,Bihar,East,Organic Search
100009,Vikram Sharma,Female,2024-08-30,Mysuru,Karnataka,South,Affiliate
100010,Neha Singh,Male,2024-07-03,Nagpur,Maharashtra,West,Organic Search
100011,Neha Tiwari,Male,2024-04-10,Jaipur,Rajasthan,North,Social Media
100012,Riya Patel,Female,2023-06-19,Vijayawada,Andhra Pradesh,South,Organic Search
100013,Neha Verma,Male,2023-05-05,Faridabad,Haryana,North,Referral
100014,Nisha Saxena,Male,2024-06-25,Gurugram,Haryana,North,Organic Search
100015,Simran Jain,Female,2025-03-02,Gaya,Bihar,East,Organic Search
100016,Neha Verma,Female,2024-08-20,Faridabad,Haryana,North,Organic Search
100017,Aarav Joshi,Female,2025-05-02,Jaipur,Rajasthan,North,Email
100018,Aditi Tiwari,Female,2023-05-30,Nagpur,Maharashtra,West,Paid Search
100019,Rahul Sharma,Male,2025-11-01,Ludhiana,Punjab,North,Social Media
100020,Vivaan Saxena,Female,2025-02-03,Surat,Gujarat,West,Email
100021,Simran Jain,Male,2024-12-29,Jaipur,Rajasthan,North,Organic Search
100022,Isha Saxena,Male,2025-06-25,,Telangana,South,Paid Search
100023,Arjun Saxena,Female,2025-10-30,New Delhi,Delhi,North,Organic Search
100024,Rohan Gupta,Female,2025-06-12,Kochi,Kerala,South,Email
100025,Kavya Joshi,Male,2024-06-10,Gurugram,Haryana,North,Social Media
100026,Aditya Kumar,Male,2025-03-09,Indore,Madhya Pradesh,Central,Affiliate
100027,Kavya Tiwari,Male,2024-04-06,Vadodara,Gujarat,West,Referral
100028,Priya Agarwal,Male,2023-06-04,Amritsar,Punjab,North,Paid Search
100029,Aditi Kumar,Female,2025-12-14,Kolkata,West Bengal,East,Referral
